Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Datetime,,,,,
2025-06-23 03:45:00+00:00,1586.9000244140625,1598.699951171875,1582.300048828125,1594.9000244140625,174769
2025-06-23 03:47:00+00:00,1587.0,1589.300048828125,1585.300048828125,1586.4000244140625,192185
2025-06-23 03:49:00+00:00,1589.0,1589.5999755859375,1586.0,1587.199951171875,135657
2025-06-23 03:51:00+00:00,1590.800048828125,1592.0,1588.9000244140625,1588.9000244140625,59227
2025-06-23 03:53:00+00:00,1592.0,1593.699951171875,1589.0,1590.800048828125,82031
2025-06-23 03:55:00+00:00,1588.800048828125,1592.699951171875,1588.699951171875,1591.699951171875,71022
2025-06-23 03:57:00+00:00,1590.300048828125,1590.5,1587.0999755859375,1588.5999755859375,84719
2025-06-23 03:59:00+00:00,1589.300048828125,1590.4000244140625,1587.300048828125,1589.5,119682
2025-06-23 04:01:00+00:00,1585.5,1589.300048828125,1585.300048828125,1589.0999755859375,95766
2025-06-23 04:03:00+00:00,1584.4000244140625,1586.199951171875,1583.300048828125,1585.9000244140625,98271
2025-06-23 04:05:00+00:00,1585.0,1585.4000244140625,1584.0,1584.5999755859375,66450
2025-06-23 04:07:00+00:00,1587.0999755859375,1587.0999755859375,1585.0,1585.0,31624
2025-06-23 04:09:00+00:00,1585.0,1587.0999755859375,1585.0,1587.0999755859375,25542
2025-06-23 04:11:00+00:00,1583.5,1585.5,1583.199951171875,1585.0999755859375,53346
2025-06-23 04:13:00+00:00,1584.4000244140625,1585.5,1583.0999755859375,1583.4000244140625,36430
2025-06-23 04:15:00+00:00,1583.300048828125,1584.800048828125,1582.5,1584.4000244140625,51239
2025-06-23 04:17:00+00:00,1583.0999755859375,1583.300048828125,1581.199951171875,1583.300048828125,91371
2025-06-23 04:19:00+00:00,1585.0,1585.0,1582.0,1582.800048828125,32137
2025-06-23 04:21:00+00:00,1584.5999755859375,1584.9000244140625,1584.0,1584.699951171875,16091
2025-06-23 04:23:00+00:00,1583.5,1584.5999755859375,1583.5,1584.5999755859375,25109
2025-06-23 04:25:00+00:00,1579.699951171875,1583.199951171875,1579.5999755859375,1583.199951171875,109449
2025-06-23 04:27:00+00:00,1580.5,1581.5,1579.0,1579.800048828125,38742
2025-06-23 04:29:00+00:00,1578.0,1580.5,1578.0,1580.5,67926
2025-06-23 04:31:00+00:00,1578.0,1579.800048828125,1577.199951171875,1577.800048828125,41675
2025-06-23 04:33:00+00:00,1576.4000244140625,1578.0,1575.800048828125,1578.0,63166
2025-06-23 04:35:00+00:00,1579.5,1580.0999755859375,1576.300048828125,1576.4000244140625,63066
2025-06-23 04:37:00+00:00,1578.300048828125,1580.0999755859375,1578.199951171875,1580.0999755859375,29209
2025-06-23 04:39:00+00:00,1580.0,1580.5,1577.9000244140625,1578.0999755859375,32994
2025-06-23 04:41:00+00:00,1580.800048828125,1580.800048828125,1579.0999755859375,1580.0999755859375,21807
2025-06-23 04:43:00+00:00,1580.800048828125,1580.800048828125,1580.0,1580.800048828125,22222
2025-06-23 04:45:00+00:00,1580.5999755859375,1581.0,1580.0,1580.800048828125,23003
2025-06-23 04:47:00+00:00,1580.5999755859375,1581.9000244140625,1580.0999755859375,1580.5999755859375,28840
2025-06-23 04:49:00+00:00,1581.4000244140625,1581.5,1580.300048828125,1581.0999755859375,21009
